ISO 639-3	Voicing / Height	Secondary	Place	Manner	IPA	Latin
esi	unvoiced		labial	stop	p	p
esi	unvoiced		alveolar	stop	t	t
esi	unvoiced		velar	stop	k	k
esi	unvoiced		uvular	stop	q	q
esi	voiced		palatal	stop	ɟ	j
esi	voiced		velar	stop	g	g
esi	voiced		labial	fricative	v	v
esi	voiced	lateral	alveolar	approximant	l	l
esi	voiced		palatal	approximant	j	y
esi	voiced		uvular	fricative	ʁ	r
esi	unvoiced		glottal	fricative	h	h
esi	voiced		labial	nasal	m	m
esi	voiced		alveolar	nasal	n	n
esi	voiced		velar	nasal	ŋ	ng
esi	close		front	vowel	i	i
esi	close	labialized	back	vowel	u	u
esi	open		front	vowel	a	a